"Nom du problème","Type de problème","Priorité du problème","URL","% du total","Description","Comment corriger","URL d'aide"
"URL: Chemin répétitif","Avertissement","Faible","1","0,230","URL qui comportent des répétitions de chemins ou de sous-dossiers dans la chaîne (exemple.com/page1/page/page1/page2). Dans certains cas, cela peut être légitime et logique, mais cela indique aussi souvent une mauvaise structure d'URL et des améliorations possibles. Cela peut également aider à identifier les problèmes de liens relatifs incorrects, provoquant des URL infinies.","Bien qu'elles ne constituent pas toujours un problème, les répétitions de chemins ne sont pas particulièrement conviviales ou peuvent causer des problèmes d'indexation si elles sont dues à un lien relatif incorrect. Idéalement, toute URL devrait être aussi concise que possible. Cependant, modifier une URL est une décision importante et, souvent, cela ne vaut pas la peine de le faire uniquement pour des raisons de référencement. Si des URL sont modifiées, des redirections 301 appropriées doivent être mises en œuvre.",""
"URL: Contient une espace","Problème","Faible","1","0,230","URL qui contiennent un espace. Elles sont considérées comme non sécurisées et peuvent entraîner la rupture du lien lors du partage de l'URL. Plutôt que des espaces, des traits d'union doivent être utilisés comme séparateurs de mots.","Idéalement, des traits d'union devraient être utilisés comme séparateurs de mots, plutôt que des espaces. Cependant, modifier une URL est une décision importante. Si des URL sont modifiées, des redirections 301 appropriées doivent être mises en œuvre.",""
"Codes de réponse: Externes, erreur du client (4xx)","Avertissement","Faible","1","0,200","URL externes avec une erreur côté client. Cela indique qu'un problème est survenu lors de la demande d'URL et peut inclure des réponses telles que 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests et plus encore. La réponse 404 « Page Not Found » est la plus courante et est souvent considérée comme un lien brisé. Affichez les URL liées à des erreurs en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Externe > Liens entrants Erreur du client (4xx).","Tous les liens d'un site Web devraient idéalement aboutir à des URL 200 « OK ». Les erreurs telles que les liens brisés 404 doivent être mises à jour afin que les utilisateurs soient dirigés vers la bonne URL, ou supprimées. Une erreur 403 Forbidden se produit lorsqu'un serveur Web refuse l'accès à la demande du SEO Spider et peut souvent être résolue en remplaçant le User-Agent par Chrome via Configuration > User-Agent. S'ils peuvent être visualisés dans un navigateur, ce n'est souvent pas un problème.",""
"Images: Texte Alt manquant","Problème","Faible","152","56,720","Images qui disposent d'un attribut alt, mais sans texte alt. Cliquez sur l'adresse de l'image, puis sur l'onglet « Détails de l'image » dans la fenêtre inférieure pour voir quelles pages contiennent l'image, mais pas le texte alt. Les images doivent être accompagnées d'un texte alternatif descriptif de leur fonction, ce qui permet aux aveugles et aux malvoyants, ainsi qu'aux moteurs de recherche, de comprendre l'image et sa pertinence pour la page Web.","Incluez un texte alt descriptif pour les images afin d'aider les utilisateurs et les moteurs de recherche à mieux les comprendre. Dans la mesure du possible, les images décoratives doivent être fournies en utilisant des images d'arrière-plan CSS ou un texte alt nul (vide) (alt="""") afin qu'elles puissent être ignorées par les technologies d'assistance, telles que les lecteurs d'écran.",""
"Images: Attributs de taille manquants","Opportunité","Faible","14","5,220","Éléments d'image dont les dimensions (attributs width et height) ne sont pas spécifiées dans le code HTML. Cela peut entraîner d'importants changements de mise en page lors du chargement du contenu, ce qui peut s'avérer frustrant pour les utilisateurs. C'est l'une des principales causes d'un score CLS (Cumulative Layout Shift) élevé.","Définissez la taille de toutes les images au format natif à l'aide des attributs width et height dans le code HTML. Le navigateur pourra ainsi calculer l'espace nécessaire pour chaque image avant son chargement, évitant ainsi des modifications importantes de la mise en page.",""
"Title des pages: Plus de 60 caractères","Opportunité","Moyenne","5","9,800","Pages dont le titre dépasse la limite configurée. Les caractères au-delà de cette limite risquent d'être tronqués dans les résultats de recherche de Google et d'avoir moins de poids dans les résultats.","Rédigez des titres de page concis pour éviter que des mots importants ne soient tronqués dans les résultats de recherche, qu'ils ne soient pas visibles pour les utilisateurs et qu'ils aient éventuellement moins de poids dans les résultats.",""
"Validation: Éléments HTML non valides dans <head>","Avertissement","Élevée","51","11,620","Pages comprenant des éléments HTML non valides dans la balise <head>. Lorsqu’un élément non valide est compris dans la balise <head>, Google que l’élément <head> se termine à ce niveau et ignore tout élément figurant après l’élément non valide. Cela signifie que les éléments essentiels de la balise <head> figurant après l’élément non valide ne seront pas vus. L’élément <head> selon le standard HTML est réservé uniquement aux balises suivantes : title, meta, link, script, style, base, noscript et template.","Vérifiez que l’élément <head> utilise uniquement des éléments valides conformément aux spécifications HTML pour garantir que les balises essentielles sont détectées par les moteurs de recherche. Les éléments non valides courants incluent les éléments <img> et <iframe>. Google recommande fortement de les inclure dans la balise <head>, mais si vous devez le faire, placez ces éléments non valides après ceux que vous souhaitez être détectés par Google.",""
"Sécurité: Liens avec attribut crossorigin non sécurisés","Avertissement","Faible","51","11,620","URL pointant vers un site Web externe qui contiennent l'attribut target=""_blank"" (pour ouvrir la page dans un nouvel onglet), mais pas l'attribut rel=""noopener"" (ou rel=""noreferrer""). Lorsque seul l'attribut target=""_blank"" est utilisé, les pages concernées sont exposées à des problèmes de sécurité et de performance sur certains anciens navigateurs, qui représentent moins de 5 % du marché. Le fait de définir target=""_blank"" sur des éléments <a> permet d'obtenir implicitement le même comportement qu'avec rel=""noopener"", qui ne définit pas window.opener sur la plupart des navigateurs modernes tels que Chrome, Safari, Firefox et Edge. Les liens externes qui contiennent l'attribut target=""_blank"" uniquement peuvent être consultés dans l'onglet ""Liens sortants"" et la colonne ""Cible"". Pour exporter ces liens ainsi que leurs pages sources, accédez à Exportation en bloc > Sécurité > Liens avec attribut crossorigin non sécurisés.","Nous vous conseillons d'ajouter l'attribut rel=""noopener"" à tous les liens qui contiennent l'attribut target=""_blank"" pour éviter que les utilisateurs d'anciens navigateurs ne soient exposés à des problèmes de sécurité et de performance.",""
"H1: Non séquentiel","Avertissement","Faible","7","13,730","Pages dont l'élément <h1> n'est pas le premier en-tête de la page. Les éléments d'en-tête doivent être placés dans un ordre logique séquentiel par ordre décroissant. L'objectif des éléments d'en-tête est d'indiquer la structure de la page. Ils doivent être placés dans un ordre logique, de <h1> à <h6>, afin de faciliter la navigation et d'aider les utilisateurs qui dépendent de technologies d'assistance.","Assurez-vous que l'élément <h1> correspond au premier en-tête de la page. Les en-têtes doivent être placés dans un ordre séquentiel logique, de <h1> à <h6>. Examinez les niveaux des en-têtes de la page et vérifiez qu'ils sont placés par ordre décroissant. Par exemple, l'en-tête de premier niveau doit être un <h1>, et cet en-tête doit être suivi par un <h2>.",""
"H2: Manquant","Avertissement","Faible","27","52,940","Pages dont le <h2> est manquant, dont le contenu est vide ou qui ont un espace blanc. Les sous-titres <h2> sont souvent utilisés pour décrire des sections ou des sujets dans un document. Ils servent de repères pour l'utilisateur et peuvent aider les moteurs de recherche à comprendre la page.","Envisagez d'utiliser des <h2> logiques et descriptifs sur les pages importantes, qui aident l'utilisateur et les moteurs de recherche à mieux comprendre la page.",""
"Sécurité: En-tête Content-Security-Policy manquant","Avertissement","Faible","292","66,510","URL qui n'ont pas l'en-tête de réponse Content-Security-Policy. Cet en-tête permet à un site Web de contrôler quelles ressources sont chargées pour une page. Cette politique peut aider à se protéger contre les attaques de type script intersites (XSS) qui exploitent la confiance du navigateur dans le contenu reçu du serveur. Le SEO Spider ne vérifie que l'existence de l'en-tête et n'interroge pas les politiques qu'il contient pour déterminer si elles sont bien configurées pour le site Web. Cette opération doit être effectuée manuellement.","Définissez un en-tête de réponse Content-Security-Policy strict pour toutes les pages afin d'atténuer les attaques par script intersites (XSS) et par injection de données.",""
"Sécurité: En-tête X-Frame-Options manquant","Avertissement","Faible","297","67,650","URL qui n'ont pas l'en-tête de réponse X-Frame-Options avec une valeur « DENY » ou « SAMEORIGIN ». Cela indique au navigateur de ne pas rendre une page dans un cadre, une iframe, une incorporation ou un objet. Cela permet d'éviter les attaques de type « détournement de clic », où votre contenu est affiché sur une autre page Web contrôlée par un attaquant.","Pour minimiser les problèmes de sécurité, l'en-tête de réponse X-Frame-Options doit être fourni avec une valeur « DENY » ou « SAMEORIGIN ».",""
"H2: Multiple","Avertissement","Faible","13","25,490","Pages comportant plusieurs <h2>. Ce n'est pas un problème, car les normes HTML autorisent plusieurs <h2> lorsqu'ils sont utilisés dans une structure de sous-titres hiérarchique logique. Cependant, ce filtre peut vous aider à effectuer un examen rapide pour vérifier s'ils sont utilisés de manière appropriée.","Veillez à ce que les <h2> soient utilisés dans une structure de sous-titres hiérarchique logique et mettez-les à jour, le cas échéant, en utilisant toute la gamme de sous-titres entre h3 et h6 pour les sous-titres supplémentaires.",""
"Title des pages: Moins de 200 pixels","Opportunité","Moyenne","6","11,760","Pages dont le titre est beaucoup plus court que la limite de longueur en pixels estimée par Google. Ce n'est pas nécessairement un problème, mais cela indique qu'il y a peut-être de la place pour cibler des mots-clés supplémentaires ou pour communiquer vos arguments clés.","Envisagez de mettre à jour le titre de la page afin de profiter de l'espace restant pour inclure d'autres mots-clés cibles ou arguments clés.",""
"H1: Manquant","Problème","Moyenne","10","19,610","Pages dont le <h1> est manquant, le contenu est vide ou qui comportent un espace blanc. Les <h1> doivent décrire le titre principal et l'objectif de la page, et sont considérés comme l'un des signaux de classement les plus forts sur la page.","Veillez à ce que les pages importantes comportent des sous-titres concis, descriptifs et uniques afin d'aider les utilisateurs et de permettre aux moteurs de recherche de noter et de classer la page pour les requêtes de recherche correspondantes.",""
"Title des pages: Moins de 30 caractères","Opportunité","Moyenne","11","21,570","Pages dont le titre est inférieur à la limite configurée. Ce n'est pas nécessairement un problème, mais cela indique qu'il y a peut-être de la place pour cibler des mots-clés supplémentaires ou pour communiquer vos arguments clés.","Envisagez de mettre à jour le titre de la page afin de profiter de l'espace restant pour inclure d'autres mots-clés cibles ou arguments clés.",""
"Sécurité: En-tête Secure Referrer-Policy manquant","Avertissement","Faible","348","79,270","URL qui n'ont pas les politiques « no-referrer-when-downgrade », « strict-origin-when-cross-origin », « no-referrer » ou « strict-origin » dans l'en-tête Referrer-Policy. Lorsque vous utilisez le protocole HTTPS, il est important que les URL ne fuient pas dans les requêtes non HTTPS. Cela peut exposer les utilisateurs à des attaques de type « man in the middle », car n'importe qui sur le réseau peut les voir.","Envisagez de définir une politique de référent de type « strict-origin-when-cross-origin ». Cela permet de conserver une grande partie de l'utilité du référent, tout en atténuant le risque de fuite de données entre les origines.",""
"H1: Multiple","Avertissement","Moyenne","1","1,960","Pages comportant plusieurs <h1>. Bien que ce ne soit pas un problème à proprement parler, car les normes HTML5 autorisent la présence de plusieurs <h1> sur une page, cette approche moderne pose quelques problèmes en termes de convivialité. Il est conseillé d'utiliser le classement des sous-titres (h1-h6) pour transmettre la structure du document. La norme HTML4 classique définit qu'il ne doit y avoir qu'un seul <h1> par page, et cela reste généralement recommandé pour les utilisateurs et le référencement.","Envisagez de mettre à jour le code HTML pour inclure un seul titre <h1> sur chaque page, et d'utiliser toute la gamme de sous-titres entre h2 et h6 pour ajouter des sous-titres supplémentaires.",""
"H1: Plus de 70 caractères","Opportunité","Faible","1","1,960","Pages dont les <h1> dépassent la longueur configurée. Il n'y a pas de limite de caractères stricte pour les <h1>, mais ils doivent être clairs et concis pour les utilisateurs et les sous-titres longs peuvent être moins utiles.","Rédigez des <h1> concis pour les utilisateurs, en incluant des mots-clés ciblés lorsque cela est naturel pour les utilisateurs, sans bourrage de mots-clés.",""
"Images: Attribut Alt manquant","Problème","Faible","2","0,750","Images auxquelles il manque un attribut alt. Cliquez sur l'adresse (URL) de l'image, puis sur l'onglet « Détails de l'image » dans la fenêtre inférieure pour afficher les pages où l'image apparaît et où il manque des attributs alt. Toutes les images doivent contenir un attribut alt avec un texte descriptif, ou vide s'il s'agit d'une image décorative.","Incluez des attributs alt avec un texte alt descriptif pour les images afin d'aider les utilisateurs et les moteurs de recherche à mieux les comprendre. Dans la mesure du possible, les images décoratives doivent être fournies en utilisant des images d'arrière-plan CSS ou un texte alt nul (vide) (alt="""") afin qu'elles puissent être ignorées par les technologies d'assistance, telles que les lecteurs d'écran.",""
"Sécurité: Liens vers des ressources liées au protocole","Avertissement","Faible","51","11,620","URL qui chargent des ressources telles que des images, du JavaScript et du CSS en utilisant des liens sans protocole. Un lien sans protocole est simplement un lien vers une URL sans indiquer le schéma (par exemple, //screamingfrog.co.uk). Il permet aux développeurs de ne pas avoir à indiquer le protocole et laisse le navigateur le déterminer en fonction de la connexion actuelle à la ressource. Cependant, cette technique est maintenant un anti-schéma avec HTTPS partout, et peut exposer certains sites à des compromissions de type « man in the middle » et à des problèmes de performances.","Mettez à jour tous les liens vers des ressources pour qu'ils soient des liens absolus incluant le schéma (HTTPS) pour éviter les problèmes de sécurité et de performances.",""
"H1: Doublon","Opportunité","Faible","17","33,330","Pages qui présentent des doublons de <h1>. Il est important de disposer de sous-titres principaux distincts, uniques et utiles. Si chaque page a le même <h1>, il peut être plus difficile pour les utilisateurs et les moteurs de recherche de distinguer une page d'une autre.","Mettez à jour les doublons de <h1> comme nécessaire, afin que les pages importantes contiennent un <h1> unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"Liens: Liens sortants internes sans texte d'ancrage","Opportunité","Faible","51","100,000","Pages qui ont des liens internes sans texte d'ancrage ou des images qui sont hyperliées sans texte Alt. Le texte d'ancrage est le texte et les mots visibles utilisés dans les liens hypertextes qui fournissent aux utilisateurs et aux moteurs de recherche un contexte sur le contenu de la page cible. Les liens sortants internes sans texte d'ancrage peuvent être vus dans l'onglet « Liens sortants », avec le filtre « Tous les types de liens » défini sur « Hyperlien », où la colonne « Texte d'ancrage » est vide, ou, s'il s'agit d'une image, la colonne « Alt Text » est également vide. Exportez en bloc via Exportation en bloc > Liens > Liens sortants internes sans texte d'ancrage.","Examinez les liens sortants dont le texte d'ancrage est manquant et, le cas échéant, ajoutez un texte d'ancrage utile et descriptif pour aider les utilisateurs et les moteurs de recherche.",""
