"Nom du problème","Type de problème","Priorité du problème","URL","% du total","Description","Comment corriger","URL d'aide"
"Codes de réponse: Internes, redirection (3xx)","Avertissement","Faible","65","13,000","URL internes qui redirigent vers une autre URL. Il s'agit notamment des redirections côté serveur, telles que les redirections 301 ou 302 (et d'autres). Affichez les URL liées à des redirections en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Interne > Liens entrants Redirection (3xx).","Dans l'idéal, tous les liens internes devraient pointer vers des URL à résolution canonique et éviter les liens vers des URL qui redirigent. Cela réduit la latence des redirections pour les utilisateurs et améliore l'efficacité des moteurs de recherche.",""
"Meta description: Plus de 155 caractères","Opportunité","Faible","6","2,160","Pages dont les méta-descriptions dépassent la limite configurée. Les caractères au-delà de cette limite risquent d'être tronqués dans les résultats de recherche de Google.","Rédigez des méta-descriptions concises afin que les mots importants ne soient pas tronqués dans les résultats de recherche et ne soient pas visibles pour les utilisateurs.",""
"Title des pages: Plus de 561 pixels","Opportunité","Moyenne","128","46,040","Pages dont le titre dépasse la limite de longueur en pixels estimée par Google pour les titres dans les résultats de recherche. La longueur d'extrait de Google est en fait basée sur des limites en pixels, plutôt que sur une longueur en caractères. Le SEO Spider tente de faire correspondre les derniers points de troncature en pixels dans les SERP, mais il s'agit d'une approximation et Google les ajuste fréquemment.","Rédigez des titres de page concis pour éviter que des mots importants ne soient tronqués dans les résultats de recherche, qu'ils ne soient pas visibles pour les utilisateurs et qu'ils aient éventuellement moins de poids dans les résultats.",""
"Sécurité: En-tête HSTS manquant","Avertissement","Faible","413","85,860","URL qui n'ont pas l'en-tête de réponse HSTS. L'en-tête de réponse HTTP Strict-Transport-Security (HSTS) indique aux navigateurs que l'accès au site doit se faire uniquement par HTTPS, plutôt que par HTTP. Si un site Web accepte une connexion HTTP, avant d'être redirigé vers HTTPS, les visiteurs continueront initialement à communiquer via HTTP. L'en-tête HSTS indique au navigateur de ne jamais charger en HTTP et de convertir automatiquement toutes les requêtes en HTTPS.","L'en-tête HSTS doit être utilisé sur toutes les pages pour indiquer au navigateur qu'il doit toujours demander les pages via HTTPS, plutôt que via HTTP.",""
"Validation: Plusieurs balises <head>","Problème","Élevée","11","2,290","Pages avec plusieurs éléments <head> dans le code HTML. Le code HTML ne doit contenir qu’un seul élément <head> contenant toutes les métadonnées essentielles du document. Les navigateurs et Googlebot combinent les métadonnées à partir des éléments <head> suivants s’ils figurent devant la balise <body>, mais le résultat n’est pas très fiable et peut entraîner des erreurs. Les balises <head> situées après le début du <body> seront ignorées.","Veillez à ce que toutes les pages disposent d’un seul élément <head> valide avec des métadonnées appropriées pour le document et qui soit le premier élément de l’élément <html>.",""
"H2: Doublon","Opportunité","Faible","170","61,150","Pages qui présentent des doublons de <h2>. Il est important de disposer de pages distinctes, uniques et utiles. Si chaque page a le même <h2>, il peut être plus difficile pour les utilisateurs et les moteurs de recherche de distinguer une page d'une autre.","Mettez à jour les doublons de <h2> comme nécessaire, afin que les pages importantes contiennent un <h2> unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"Pagination: Non indexable","Avertissement","Élevée","1","0,360","L'URL paginée est non indexable. En général, elles devraient toutes être indexables, à moins qu'une page « view-all » ne soit définie, ou qu'il y ait des paramètres supplémentaires sur les URL de pagination, et qu'elles doivent être canonisées vers une seule URL. L'une des erreurs les plus courantes consiste à définir l'URL canonique des pages paginées sur la première page de la série. Google déconseille cette implémentation, car les pages composantes ne contiennent pas réellement de contenu dupliqué. Une autre erreur courante est l'utilisation de « noindex », ce qui peut signifier que Google supprime complètement les URL paginées de l'index et arrête de suivre les liens sortants de ces pages, ce qui peut poser un problème pour les produits de ces pages.","Assurez-vous que les URL paginées renvoient à des pages canoniques et indexables, afin qu'elles puissent être crawlées et indexées.",""
"Sécurité: En-tête Secure Referrer-Policy manquant","Avertissement","Faible","413","85,860","URL qui n'ont pas les politiques « no-referrer-when-downgrade », « strict-origin-when-cross-origin », « no-referrer » ou « strict-origin » dans l'en-tête Referrer-Policy. Lorsque vous utilisez le protocole HTTPS, il est important que les URL ne fuient pas dans les requêtes non HTTPS. Cela peut exposer les utilisateurs à des attaques de type « man in the middle », car n'importe qui sur le réseau peut les voir.","Envisagez de définir une politique de référent de type « strict-origin-when-cross-origin ». Cela permet de conserver une grande partie de l'utilité du référent, tout en atténuant le risque de fuite de données entre les origines.",""
"Sécurité: En-tête X-Content-Type-Options manquant","Avertissement","Faible","120","24,950","URL qui n'ont pas l'en-tête de réponse « X-Content-Type-Options » avec une valeur « nosniff ». En l'absence d'un type MIME, les navigateurs peuvent « renifler » pour deviner le type de contenu et l'interpréter correctement pour les utilisateurs. Cependant, cela peut être exploité par des attaquants qui peuvent essayer de charger du code malveillant, tel que JavaScript, par une image qu'ils ont compromise.","Pour minimiser les problèmes de sécurité, l'en-tête de réponse X-Content-Type-Options doit être fourni et avec la valeur « nosniff » définie. Cela indique aux navigateurs de se fier uniquement à l'en-tête Content-Type et de bloquer tout ce qui ne correspond pas exactement. Cela signifie également que le type de contenu définii doit être précis.",""
"H1: Doublon","Opportunité","Faible","2","0,720","Pages qui présentent des doublons de <h1>. Il est important de disposer de sous-titres principaux distincts, uniques et utiles. Si chaque page a le même <h1>, il peut être plus difficile pour les utilisateurs et les moteurs de recherche de distinguer une page d'une autre.","Mettez à jour les doublons de <h1> comme nécessaire, afin que les pages importantes contiennent un <h1> unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"Sécurité: En-tête Content-Security-Policy manquant","Avertissement","Faible","413","85,860","URL qui n'ont pas l'en-tête de réponse Content-Security-Policy. Cet en-tête permet à un site Web de contrôler quelles ressources sont chargées pour une page. Cette politique peut aider à se protéger contre les attaques de type script intersites (XSS) qui exploitent la confiance du navigateur dans le contenu reçu du serveur. Le SEO Spider ne vérifie que l'existence de l'en-tête et n'interroge pas les politiques qu'il contient pour déterminer si elles sont bien configurées pour le site Web. Cette opération doit être effectuée manuellement.","Définissez un en-tête de réponse Content-Security-Policy strict pour toutes les pages afin d'atténuer les attaques par script intersites (XSS) et par injection de données.",""
"Codes de réponse: Internes, bloquées par Robots.txt","Avertissement","Élevée","3","0,600","URL internes bloquées par le fichier robots.txt du site. Ces URL ne pourront donc pas être crawlées, ce qui est un problème critique si vous voulez que le contenu de la page soit crawlé et indexé par les moteurs de recherche. Pour consulter les URL qui renvoient à des URL bloquées par le fichier robots.txt, accédez à l'onglet Liens entrants en bas et effectuez une exportation groupée via Exportation en bloc > Codes de réponse > Interne > Liens entrants bloqués par Robots.txt.","Vérifiez les URL pour vous assurer qu'elles doivent être refusées. Si elles sont refusées à tort, le fichier robots.txt du site doit être mis à jour pour permettre qu'elles soient crawlées. Vérifiez si vous devez créer des liens internes vers ces URL et supprimez-les le cas échéant.",""
"H1: Plus de 70 caractères","Opportunité","Faible","5","1,800","Pages dont les <h1> dépassent la longueur configurée. Il n'y a pas de limite de caractères stricte pour les <h1>, mais ils doivent être clairs et concis pour les utilisateurs et les sous-titres longs peuvent être moins utiles.","Rédigez des <h1> concis pour les utilisateurs, en incluant des mots-clés ciblés lorsque cela est naturel pour les utilisateurs, sans bourrage de mots-clés.",""
"Sécurité: Liens avec attribut crossorigin non sécurisés","Avertissement","Faible","278","57,800","URL pointant vers un site Web externe qui contiennent l'attribut target=""_blank"" (pour ouvrir la page dans un nouvel onglet), mais pas l'attribut rel=""noopener"" (ou rel=""noreferrer""). Lorsque seul l'attribut target=""_blank"" est utilisé, les pages concernées sont exposées à des problèmes de sécurité et de performance sur certains anciens navigateurs, qui représentent moins de 5 % du marché. Le fait de définir target=""_blank"" sur des éléments <a> permet d'obtenir implicitement le même comportement qu'avec rel=""noopener"", qui ne définit pas window.opener sur la plupart des navigateurs modernes tels que Chrome, Safari, Firefox et Edge. Les liens externes qui contiennent l'attribut target=""_blank"" uniquement peuvent être consultés dans l'onglet ""Liens sortants"" et la colonne ""Cible"". Pour exporter ces liens ainsi que leurs pages sources, accédez à Exportation en bloc > Sécurité > Liens avec attribut crossorigin non sécurisés.","Nous vous conseillons d'ajouter l'attribut rel=""noopener"" à tous les liens qui contiennent l'attribut target=""_blank"" pour éviter que les utilisateurs d'anciens navigateurs ne soient exposés à des problèmes de sécurité et de performance.",""
"Validation: Plusieurs balises <body>","Problème","Élevée","11","2,290","Pages avec plusieurs éléments <body> dans le code HTML. Il ne doit y avoir qu’un seul élément <body> dans le code HTML qui contient tout le contenu du document. Les navigateurs et Googlebot essayeront de combiner le contenu des éléments <body> suivants, cependant le résultat n’est pas très fiable et peut entraîner des mélanges potentiels.","Veillez à ce que toutes les pages disposent d’un seul élément <body> valide avec un contenu approprié pour le document.",""
"H2: Multiple","Avertissement","Faible","266","95,680","Pages comportant plusieurs <h2>. Ce n'est pas un problème, car les normes HTML autorisent plusieurs <h2> lorsqu'ils sont utilisés dans une structure de sous-titres hiérarchique logique. Cependant, ce filtre peut vous aider à effectuer un examen rapide pour vérifier s'ils sont utilisés de manière appropriée.","Veillez à ce que les <h2> soient utilisés dans une structure de sous-titres hiérarchique logique et mettez-les à jour, le cas échéant, en utilisant toute la gamme de sous-titres entre h3 et h6 pour les sous-titres supplémentaires.",""
"H1: Manquant","Problème","Moyenne","7","2,520","Pages dont le <h1> est manquant, le contenu est vide ou qui comportent un espace blanc. Les <h1> doivent décrire le titre principal et l'objectif de la page, et sont considérés comme l'un des signaux de classement les plus forts sur la page.","Veillez à ce que les pages importantes comportent des sous-titres concis, descriptifs et uniques afin d'aider les utilisateurs et de permettre aux moteurs de recherche de noter et de classer la page pour les requêtes de recherche correspondantes.",""
"URL: Paramètres","Avertissement","Faible","5","1,040","URL qui incluent des paramètres tels que « ? » ou « & ». Ce n'est pas un problème pour le crawl par Google ou d'autres moteurs de recherche, sauf à grande échelle, mais il est recommandé de limiter le nombre de paramètres dans une URL, ce qui peut être compliqué pour les utilisateurs et peut être un signe d'URL à faible valeur ajoutée.","Dans la mesure du possible, utilisez une structure d'URL statique sans paramètres pour des URL indexables clés. Cependant, modifier une URL est une décision importante et, souvent, cela ne vaut pas la peine de le faire uniquement pour des raisons de référencement. Si des URL sont modifiées, des redirections 301 appropriées doivent être mises en œuvre.",""
"H2: Non séquentiel","Avertissement","Faible","1","0,360","Pages dont l'élément <h2> n'est pas le deuxième en-tête de la page après l'élément <h1>. Les éléments d'en-tête doivent être placés dans un ordre logique séquentiel par ordre décroissant. L'objectif des éléments d'en-tête est d'indiquer la structure de la page. Ils doivent être placés dans un ordre logique, de <h1> à <h6>, afin de faciliter la navigation et d'aider les utilisateurs qui dépendent de technologies d'assistance.","Assurez-vous que l'élément <h2> correspond au deuxième en-tête de la page. Les en-têtes doivent être placés dans un ordre séquentiel logique, de <h1> à <h6>. Examinez les niveaux des en-têtes de la page et vérifiez qu'ils sont placés par ordre décroissant. Par exemple, l'en-tête qui suit un <h1> doit être un <h2>, et cet en-tête doit être suivi par un <h3>.",""
"H1: Multiple","Avertissement","Moyenne","4","1,440","Pages comportant plusieurs <h1>. Bien que ce ne soit pas un problème à proprement parler, car les normes HTML5 autorisent la présence de plusieurs <h1> sur une page, cette approche moderne pose quelques problèmes en termes de convivialité. Il est conseillé d'utiliser le classement des sous-titres (h1-h6) pour transmettre la structure du document. La norme HTML4 classique définit qu'il ne doit y avoir qu'un seul <h1> par page, et cela reste généralement recommandé pour les utilisateurs et le référencement.","Envisagez de mettre à jour le code HTML pour inclure un seul titre <h1> sur chaque page, et d'utiliser toute la gamme de sous-titres entre h2 et h6 pour ajouter des sous-titres supplémentaires.",""
"Sécurité: En-tête X-Frame-Options manquant","Avertissement","Faible","413","85,860","URL qui n'ont pas l'en-tête de réponse X-Frame-Options avec une valeur « DENY » ou « SAMEORIGIN ». Cela indique au navigateur de ne pas rendre une page dans un cadre, une iframe, une incorporation ou un objet. Cela permet d'éviter les attaques de type « détournement de clic », où votre contenu est affiché sur une autre page Web contrôlée par un attaquant.","Pour minimiser les problèmes de sécurité, l'en-tête de réponse X-Frame-Options doit être fourni avec une valeur « DENY » ou « SAMEORIGIN ».",""
"Meta description: Manquant","Opportunité","Faible","8","2,880","Pages dont la méta-description est manquante, dont le contenu est vide ou qui comporte un espace blanc. Cela constitue une occasion manquée de communiquer les avantages de votre produit ou de votre service, et d'influencer les taux de clics pour les URL importantes.","Il est important de rédiger des métadescriptions uniques et descriptives sur les pages clés afin de communiquer l'objectif de la page aux utilisateurs et de les inciter à cliquer sur votre résultat plutôt que sur celui de la concurrence. Cela peut également signifier que Google utilise cette description pour les extraits dans les résultats de recherche pour certaines requêtes, plutôt que de créer la sienne sur la base du contenu de la page.",""
"Liens: Liens sortants internes sans texte d'ancrage","Opportunité","Faible","278","100,000","Pages qui ont des liens internes sans texte d'ancrage ou des images qui sont hyperliées sans texte Alt. Le texte d'ancrage est le texte et les mots visibles utilisés dans les liens hypertextes qui fournissent aux utilisateurs et aux moteurs de recherche un contexte sur le contenu de la page cible. Les liens sortants internes sans texte d'ancrage peuvent être vus dans l'onglet « Liens sortants », avec le filtre « Tous les types de liens » défini sur « Hyperlien », où la colonne « Texte d'ancrage » est vide, ou, s'il s'agit d'une image, la colonne « Alt Text » est également vide. Exportez en bloc via Exportation en bloc > Liens > Liens sortants internes sans texte d'ancrage.","Examinez les liens sortants dont le texte d'ancrage est manquant et, le cas échéant, ajoutez un texte d'ancrage utile et descriptif pour aider les utilisateurs et les moteurs de recherche.",""
"Liens: Pages avec beaucoup de liens sortants externes","Avertissement","Faible","3","1,080","Pages qui comportent un nombre élevé de liens sortants externes suivis, selon les préférences « Nombre élevé de liens sortants externes » dans Configuration > Spider > Préférences. Les liens sortants externes sont des liens hypertextes vers un autre sous-domaine ou domaine (en fonction de votre configuration). Il peut s'agir d'un lien tout à fait valide, comme un lien vers une autre partie du même domaine racine ou un lien vers d'autres sites Web utiles. Les liens sortants externes suivis sont visibles dans l'onglet « Liens sortants », avec le filtre « Tous les types de liens » défini sur « Hyperlien » et la colonne « Suivre » sur « Vrai ».","Examinez les liens sortants externes suivis pour vous assurer qu'ils mènent à des sites Web crédibles, fiables et pertinents, utiles pour vos utilisateurs.",""
"Title des pages: Plus de 60 caractères","Opportunité","Moyenne","148","53,240","Pages dont le titre dépasse la limite configurée. Les caractères au-delà de cette limite risquent d'être tronqués dans les résultats de recherche de Google et d'avoir moins de poids dans les résultats.","Rédigez des titres de page concis pour éviter que des mots importants ne soient tronqués dans les résultats de recherche, qu'ils ne soient pas visibles pour les utilisateurs et qu'ils aient éventuellement moins de poids dans les résultats.",""
"Images: Attributs de taille manquants","Opportunité","Faible","98","81,670","Éléments d'image dont les dimensions (attributs width et height) ne sont pas spécifiées dans le code HTML. Cela peut entraîner d'importants changements de mise en page lors du chargement du contenu, ce qui peut s'avérer frustrant pour les utilisateurs. C'est l'une des principales causes d'un score CLS (Cumulative Layout Shift) élevé.","Définissez la taille de toutes les images au format natif à l'aide des attributs width et height dans le code HTML. Le navigateur pourra ainsi calculer l'espace nécessaire pour chaque image avant son chargement, évitant ainsi des modifications importantes de la mise en page.",""
"H1: Non séquentiel","Avertissement","Faible","1","0,360","Pages dont l'élément <h1> n'est pas le premier en-tête de la page. Les éléments d'en-tête doivent être placés dans un ordre logique séquentiel par ordre décroissant. L'objectif des éléments d'en-tête est d'indiquer la structure de la page. Ils doivent être placés dans un ordre logique, de <h1> à <h6>, afin de faciliter la navigation et d'aider les utilisateurs qui dépendent de technologies d'assistance.","Assurez-vous que l'élément <h1> correspond au premier en-tête de la page. Les en-têtes doivent être placés dans un ordre séquentiel logique, de <h1> à <h6>. Examinez les niveaux des en-têtes de la page et vérifiez qu'ils sont placés par ordre décroissant. Par exemple, l'en-tête de premier niveau doit être un <h1>, et cet en-tête doit être suivi par un <h2>.",""
"Sécurité: URL HTTP","Problème","Élevée","1","0,210","URL HTTP qui sont rencontrées dans le crawl. Tous les sites Web devraient être sécurisés par HTTPS aujourd'hui sur le Web. Non seulement c'est important pour la sécurité, mais c'est également attendu par les utilisateurs. Chrome et d'autres navigateurs affichent un message « Non sécurisé » pour toutes les URL HTTP ou qui présentent des problèmes de contenu mixte (lorsqu'ils chargent des ressources non sécurisées). Pour savoir comment ces URL ont été découvertes, consultez leurs « liens entrants » dans l'onglet de la fenêtre inférieure. Vous pouvez également exporter toutes les pages qui renvoient à des URL HTTP via Exportation en bloc > Sécurité > Liens entrants URL HTTP.","Toutes les URL doivent mener à des pages HTTPS sécurisées. Les pages doivent être fournies via HTTPS, tous les liens internes doivent être mis à jour vers des versions HTTPS et les URL HTTP doivent effectuer une redirection 301 vers des versions HTTPS. Les URL HTTP identifiées dans ce filtre qui redirigent déjà vers des versions HTTPS doivent être mises à jour pour renvoyer directement vers les versions HTTPS correctes.",""
"Sécurité: Liens vers des ressources liées au protocole","Avertissement","Faible","278","57,800","URL qui chargent des ressources telles que des images, du JavaScript et du CSS en utilisant des liens sans protocole. Un lien sans protocole est simplement un lien vers une URL sans indiquer le schéma (par exemple, //screamingfrog.co.uk). Il permet aux développeurs de ne pas avoir à indiquer le protocole et laisse le navigateur le déterminer en fonction de la connexion actuelle à la ressource. Cependant, cette technique est maintenant un anti-schéma avec HTTPS partout, et peut exposer certains sites à des compromissions de type « man in the middle » et à des problèmes de performances.","Mettez à jour tous les liens vers des ressources pour qu'ils soient des liens absolus incluant le schéma (HTTPS) pour éviter les problèmes de sécurité et de performances.",""
"H2: Plus de 70 caractères","Opportunité","Faible","22","7,910","Pages dont les <h2> dépassent la limite configurée. Il n'y a pas de limite de caractères stricte pour les <h2>, mais ils doivent être clairs et concis pour les utilisateurs, et les sous-titres longs peuvent être moins utiles.","Rédigez des <h2> concis pour les utilisateurs, en incluant des mots-clés ciblés lorsque cela est naturel pour les utilisateurs, sans bourrage de mots-clés.",""
"Images: Environ 100 Ko","Opportunité","Moyenne","5","4,170","Images volumineuses dépassant un seuil de taille. La vitesse des pages est extrêmement importante pour les utilisateurs et pour le référencement. Souvent, les ressources volumineuses telles que les images sont l'un des problèmes les plus courants qui ralentissent les pages Web. Ce filtre sert simplement de règle générale pour aider à identifier les images dont la taille de fichier est relativement importante et qui peuvent prendre plus de temps à charger. Ces images doivent être optimisées, tout comme les opportunités identifiées dans l'onglet PageSpeed qui utilise l'API PSI et Lighthouse pour évaluer la vitesse. Cela peut aider à identifier les images dont la taille n'a pas été optimisée, qui se chargent hors de l'écran, qui ne sont pas optimisées, etc.","Les images non compressées alourdissent les pages d'octets inutiles. Veillez donc à ce que les images soient optimisées par la compression, qu'elles soient correctement mises à l'échelle et qu'elles utilisent le meilleur format d'image possible pour réduire la taille du fichier.",""
"Liens: Pages avec beaucoup de liens sortants internes","Avertissement","Faible","1","0,360","Pages qui comportent un nombre élevé de liens sortants internes suivis, selon les préférences « Nombre élevé de liens sortants internes » dans Configuration > Spider > Préférences. Les liens sortants internes sont des liens hypertextes vers le même sous-domaine ou domaine (en fonction de votre configuration). Les liens sont utilisés par les utilisateurs pour naviguer sur un site Web, tandis que les moteurs de recherche les utilisent pour découvrir et classer les pages. Un trop grand nombre de liens peut réduire l'ergonomie et diminuer la quantité de PageRank distribuée à chaque page. Les liens sortants internes suivis sont visibles dans l'onglet « Liens sortants », avec le filtre « Tous les types de liens » défini sur « Hyperliens » et la colonne « Suivre » sur « Vrai ».","Examinez les liens sortants internes suivis pour vous assurer qu'ils offrent une bonne ergonomie aux utilisateurs qui naviguent sur le site Web et que les pages non importantes ne sont pas liées inutilement.",""
"Validation: Éléments HTML non valides dans <head>","Avertissement","Élevée","16","3,330","Pages comprenant des éléments HTML non valides dans la balise <head>. Lorsqu’un élément non valide est compris dans la balise <head>, Google que l’élément <head> se termine à ce niveau et ignore tout élément figurant après l’élément non valide. Cela signifie que les éléments essentiels de la balise <head> figurant après l’élément non valide ne seront pas vus. L’élément <head> selon le standard HTML est réservé uniquement aux balises suivantes : title, meta, link, script, style, base, noscript et template.","Vérifiez que l’élément <head> utilise uniquement des éléments valides conformément aux spécifications HTML pour garantir que les balises essentielles sont détectées par les moteurs de recherche. Les éléments non valides courants incluent les éléments <img> et <iframe>. Google recommande fortement de les inclure dans la balise <head>, mais si vous devez le faire, placez ces éléments non valides après ceux que vous souhaitez être détectés par Google.",""
"URL: Traits de soulignement","Opportunité","Faible","1","0,210","URL comportant des caractères de soulignement, qui ne sont pas toujours considérés comme des séparateurs de mots par les moteurs de recherche.","Idéalement, des traits d'union devraient être utilisés comme séparateurs de mots, plutôt que des traits de soulignement. Cependant, modifier une URL est une décision importante et, souvent, cela ne vaut pas la peine de le faire uniquement pour des raisons de référencement. Si des URL sont modifiées, des redirections 301 appropriées doivent être mises en œuvre.",""
"Title des pages: Identique à H1","Opportunité","Faible","13","4,680","Titres de page qui correspondent exactement au h1 de la page. Ce n'est pas nécessairement un problème, mais cela peut indiquer une opportunité potentielle de cibler des mots-clés alternatifs, des synonymes ou des expressions clés connexes.","Ce n'est pas nécessairement un problème, mais cela peut indiquer une opportunité potentielle de cibler des mots-clés alternatifs, des synonymes ou des expressions clés connexes.",""
"Pagination: URL de pagination non-200","Problème","Élevée","1","0,360","Les URL contenues dans les attributs rel=""next"" et rel=""prev » ne répondent pas avec un code de statut 200 « OK ». Il peut s'agir d'URL bloquées par robots.txt, pas de réponse, 3XX (redirections), 4XX (erreurs du client) ou 5XX (erreurs du serveur). Les URL de pagination doivent pouvoir être crawlées et indexées. Les URL non-200 sont donc traitées comme des erreurs et ignorées par les moteurs de recherche. Les URL de pagination non-200 peuvent être exportées en bloc via l'exportation Rapports > Pagination > URL de pagination non-200.","Assurez-vous que les URL paginées renvoient à des pages canoniques et indexables, afin qu'elles puissent être crawlées et indexées.",""
