"Adresse","Occurrences","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Indexabilité","Statut d'indexabilité"
"https://www.oppy.ai/allmysms/","1","Assurez vous de la joignabilité de vos clients - Oppycx","55","476","Non indexable","Canonisé"
"https://www.oppy.ai/sms-email/","1","SMS & Email : marketing direct - Oppycx","39","352","Non indexable","Canonisé"
"https://www.oppy.ai/marketing-conversationnel/","1","Le marketing conversationnel : boostez vos ventes - Oppycx","58","528","Indexable",""
"https://www.oppy.ai/agent-ia-vocal/","1","Automatisez vos appels grâce à un agent IA vocal - Oppycx","57","522","Non indexable","Canonisé"
"https://www.oppy.ai/agent-ia-vocal-taux-contact/","1","Agent IA Vocal : améliorez vos taux de contact - Oppycx","55","492","Indexable",""
"https://www.oppy.ai/rcs-vs-sms/","1","RCS vs SMS : lequel choisir pour engager vos clients ? - Oppycx","63","558","Indexable",""
"https://www.oppy.ai/rcs-essai-gratuit/","1","RCS Essai Gratuit - Oppycx","26","236","Non indexable","Canonisé"
"https://www.oppy.ai/rcs-demo/","1","RCS vs SMS | Comparatif et simulateur interactif - Oppycx","57","509","Indexable",""
"https://www.oppy.ai/category/categorie-acquisition/","1","Acquisition Archives - Oppycx","29","263","Non indexable","Canonisé"
"https://www.oppy.ai/leviers-outbound-marketing/","1","Les leviers d'outbound marketing pour accélérer sa croissance - Oppycx","70","634","Non indexable","Canonisé"
"https://www.oppy.ai/rcs-vs-whatsapp/","1","Messagerie d'entreprise : RCS vs. WhatsApp, que choisir ? - Oppycx","66","592","Indexable",""
"https://www.oppy.ai/parcours-client-digital/","1","Parcours client digital : comment fluidifier chaque point de contact ? - Oppycx","79","683","Non indexable","Canonisé"
"https://www.oppy.ai/cout-agent-ia-vocal/","1","Agent IA vocal : quel est son coût réel ? - Oppycx","50","427","Non indexable","Canonisé"
"https://www.oppy.ai/category/telemarketing/","1","Télémarketing Archives - Oppycx","31","290","Non indexable","Canonisé"
"https://www.oppy.ai/blog/page/2/","1","Toutes les actualités de marketing relationnel - Oppycx","55","483","Non indexable","Canonisé"
"https://www.oppy.ai/service-client-proactif/","1","Service client proactif : comment anticiper plutôt que réagir ? - Oppycx","72","617","Indexable",""
"https://www.oppy.ai/rcs-e-commerce/","1","RCS & e-commerce : comment augmenter vos ventes ? - Oppycx","58","566","Indexable",""
"https://www.oppy.ai/category/categorie-agent-ia-vocal/","1","Agent IA vocal Archives - Oppycx","32","291","Non indexable","Canonisé"
"https://www.oppy.ai/author/a-abdelrahmanoppycx-com/","1","Ali Abdelrahman, Author at Oppycx","33","309","Non indexable","noindex"
"https://www.oppy.ai/joignabilite/","1","Joignabilité : comment contacter vos prospects au bon moment ? - Oppycx","71","663","Non indexable","Canonisé"
"https://www.oppy.ai/category/concours/","1","Concours Archives - Oppycx","26","249","Indexable",""
"https://www.oppy.ai/satisfaction-client/","1","Satisfaction client : comment remplir les attentes de vos clients ? - Oppycx","76","655","Non indexable","Canonisé"
"https://www.oppy.ai/kpi-service-client/","1","Mesurer votre service client : les KPIs à suivre - Oppycx","57","484","Indexable",""
"https://www.oppy.ai/outils-fidelisation-client/","1","Fidélisation client : quels outils IA pour l'optimiser ? - Oppycx","65","534","Non indexable","Canonisé"
"https://www.oppy.ai/blog/page/3/","1","Toutes les actualités de marketing relationnel - Oppycx","55","483","Non indexable","Canonisé"
"https://www.oppy.ai/dites-oui-et-cest-signe-apres-la-signature-electronique-la-signature-vocale-disrupte-lexperience-client/","1","Dites oui et c’est signé ! Après la signature électronique, la signature vocale disrupte l’expérience client - Oppycx","117","984","Non indexable","Canonisé"
"https://www.oppy.ai/author/opportunity/","1","Opportunity, Author at Oppycx","29","266","Non indexable","noindex"
"https://www.oppy.ai/drive-to-store/","1","Drive-to-store : les meilleures stratégies digitales - Oppycx","61","510","Non indexable","Canonisé"
"https://www.oppy.ai/chatbot-support-client/","1","Support client 24/7 : profitez des chatbots intelligents - Oppycx","65","555","Non indexable","Canonisé"
"https://www.oppy.ai/voice-commerce/","1","Voice commerce : l'agent IA vocal au service de vos ventes - Oppycx","67","600","Indexable",""
"https://www.oppy.ai/category/categorie-marketing-relationnel/categorie-rcs/","1","RCS Archives - Oppycx","21","200","Indexable",""
"https://www.oppy.ai/category/categorie-joignabilite/","1","Joignabilité Archives - Oppycx","30","266","Indexable",""
"https://www.oppy.ai/rg/","1","JEU CONCOURS ROLAND-GARROS - Oppycx","35","392","Non indexable","Canonisé"
"https://www.oppy.ai/exemple-message-marketing/","1","Exemple message marketing : comment améliorer vos taux d’ouverture ? - Oppycx","77","724","Indexable",""
"https://www.oppy.ai/category/fidelisation-client/","1","Fidélisation client Archives - Oppycx","37","318","Indexable",""
"https://www.oppy.ai/blog/page/4/","1","Toutes les actualités de marketing relationnel - Oppycx","55","483","Non indexable","Canonisé"
"https://www.oppy.ai/category/categorie-experience-client/","1","Expérience client Archives - Oppycx","35","312","Indexable",""
"https://www.oppy.ai/category/chatbot/","1","Chatbot Archives - Oppycx","25","234","Indexable",""
"https://www.oppy.ai/ia-conversationnelle-retail/","1","IA conversationnelle retail : comment booster votre drive-to-store ? - Oppycx","77","670","Indexable",""
"https://www.oppy.ai/rendez-vous-ia/","1","Comment automatiser la gestion de rendez-vous avec l'IA ? - Oppycx","66","604","Non indexable","Canonisé"
"https://www.oppy.ai/author/anaelle-boulard2gmail-com/","1","Anaëlle Boulard, Author at Oppycx","33","301","Non indexable","noindex"
"https://www.oppy.ai/category/categorie-marketing-relationnel/","1","Marketing relationnel Archives - Oppycx","39","350","Indexable",""
"https://www.oppy.ai/quality-monitoring-definition/","1","Qu'est-ce que le quality monitoring ? - Oppycx","46","401","Non indexable","Canonisé"
"https://oppy.ai/gestion-des-cookies/","1","Gestion des cookies - Oppycx","28","260","Non indexable","Canonisé"
"https://oppy.ai/","1","Home - Oppycx","13","135","Non indexable","Canonisé"
"https://oppy.ai/politique-de-confidentialite/","1","Politique de confidentialité - Oppycx","37","316","Non indexable","Canonisé"
"https://www.oppy.ai/agent-vocal-ia/","1","Agent Vocal IA vs. Chatbot : lequel choisir ? - Oppycx","54","464","Indexable",""
"https://www.oppy.ai/relation-client-omnicanale/","1","Relation client omnicanale : communiquez sur tous vos canaux - Oppycx","69","640","Indexable",""
"https://www.oppy.ai/rcs-marketing/","1","RCS marketing : comment réussir vos campagnes ? - Oppycx","56","538","Indexable",""
"https://www.oppy.ai/ia-relation-client/","1","Automatiser sa relation client avec l'IA - Oppycx","49","419","Non indexable","Canonisé"
"https://www.oppy.ai/e-commerce-marketing-conversationnel/","1","Boostez vos ventes avec le marketing relationnel - Oppycx","57","512","Non indexable","Canonisé"
"https://www.oppy.ai/ia-conversationnelle/","1","Comment l’IA conversationnelle transforme la relation client ? - Oppycx","71","626","Non indexable","Canonisé"
"https://www.oppy.ai/automatiser-relation-client/","1","IA & Relation client : automatiser sans déshumaniser - Oppycx","61","548","Non indexable","Canonisé"
"https://www.oppy.ai/prospection-telephonique/","1","Prospection téléphonique : optimiser votre taux de contact avec l'IA - Oppycx","77","676","Indexable",""
"https://www.oppy.ai/communication-commerciale/","1","SMS, RCS & WhatsApp : quel canal de communication commerciale choisir ? - Oppycx","80","758","Indexable",""
"https://www.oppy.ai/anticiper-les-besoins-des-clients/","1","Anticiper les besoins de vos clients grâce à l’IA - Oppycx","58","494","Non indexable","Canonisé"
"https://www.oppy.ai/experience-client-e-commerce/","1","Expérience client e-commerce : les outils indispensables - Oppycx","65","579","Indexable",""
"https://www.oppy.ai/chatbot-e-commerce/","1","Chatbot & E-commerce : améliorez l’expérience de vos clients - Oppycx","69","623","Indexable",""
"https://www.oppy.ai/conseillers-agent-ia-vocal/","1","Accompagnez vos conseillers grâce à l'agent IA vocal - Oppycx","61","555","Non indexable","Canonisé"
"https://www.oppy.ai/generer-leads-whatsapp/","1","Utilisez Whatsapp comme outil de génération de leads - Oppycx","61","561","Indexable",""
"https://www.oppy.ai/rcs-messaging-acquisition-client/","1","Le RCS Messaging, nouveau canal d'acquisition client - Oppycx","61","555","Non indexable","Canonisé"
"https://oppy.ai/category/categorie-acquisition/","1","Acquisition Archives - Oppycx","29","263","Indexable",""
"https://www.oppy.ai/agents-ia-vocaux/","1","Agents IA vocaux : générez vos propres leads - Oppycx","53","483","Indexable",""
"https://www.oppy.ai/soldes-ete-augmenter-ventes/","1","Soldes d'été : les leviers pour augmenter vos ventes - Oppycx","61","536","Non indexable","Canonisé"
"https://www.oppy.ai/hot-leads-management/","1","Hot leads management : ne manquez aucune conversion - Oppycx","60","584","Indexable",""
"https://www.oppy.ai/whatsapp-marketing/","1","WhatsApp Marketing : Chatbot, astuces et techniques qui rapportent - Oppycx","75","685","Non indexable","Canonisé"
"https://www.oppy.ai/recouvrement-bancaire/","1","Améliorez votre recouvrement bancaire avec le RCS et l’Agent IA Vocal - Oppycx","78","704","Indexable",""
